height_in_m,density_in_kg_per_m3
0,1.225
500,1.16727
1000,1.11164
1500,1.05807
2000,1.00649
2500,0.956859
3000,0.909122
3500,0.863229
4000,0.819129
4500,0.776775
5000,0.736116
5500,0.697106
6000,0.659697
6500,0.623844
7000,0.589501
7500,0.556624
8000,0.525168
8500,0.49509
9000,0.466348
9500,0.438901
10000,0.412707
10500,0.387725
11000,0.363918
11500,0.336327
12000,0.310828
12500,0.287262
13000,0.265483
13500,0.245355
14000,0.226753
14500,0.209562
15000,0.193674
15500,0.17899
16000,0.16542
16500,0.152878
17000,0.141288
17500,0.130576
18000,0.120676
18500,0.111527
19000,0.103071
19500,0.0952569
20000,0.0880349
20500,0.0811804
21000,0.0748737
21500,0.0690697
22000,0.0637273
22500,0.0588091
23000,0.0542803
23500,0.0501094
24000,0.0462674
24500,0.0427276
25000,0.0394658
25500,0.0364595
26000,0.0336882
26500,0.0311331
27000,0.0287769
27500,0.0266036
28000,0.0245988
28500,0.022749
29000,0.021042
29500,0.0194664
30000,0.0180119
30500,0.016669
31000,0.0154288
31500,0.0142832
32000,0.013225
32500,0.0122011
33000,0.011262
33500,0.0104002
34000,0.00960889
34500,0.008882
35000,0.00821392
35500,0.00759959
36000,0.00703441
36500,0.00651419
37000,0.00603513
37500,0.00559375
38000,0.00518691
38500,0.00481172
39000,0.00446557
39500,0.00414606
40000,0.00385101
40500,0.00357842
41000,0.00332648
41500,0.00309352
42000,0.00287802
42500,0.00267858
43000,0.00249393
43500,0.00232291
44000,0.00216443
44500,0.00201752
45000,0.00188129
45500,0.0017549
46000,0.0016376
46500,0.00152869
47000,0.00142753
47500,0.00134022
48000,0.00125825
48500,0.00118129
49000,0.00110904
49500,0.00104121
50000,0.000977525
